name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
Jose Coronado Clubhouse,2650616189117355099,restroom,0,0,0,0,37.75773442349162,-122.41514040680026,21st & Folsom,San Francisco,CA,94110,Jose Coronado Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.415140407 37.757734423),9,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Margaret S. Hayward Restrooms,3584035291768217733,restroom,0,0,0,0,37.78049973550466,-122.42582255271614,1016 Laguna,San Francisco,CA,94102,Margaret S.Hayward Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.425822553 37.780499736),5,Western Addition,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
St Mary's Square Bathrooms,7471311198826182443,restroom,0,0,0,0,37.79171980699087,-122.4050920959734,California St & Grant St,San Francisco,CA,94108,St. Mary's Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.405092096 37.791719807),3,Financial District/South Beach,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Polo Field Bathroom,5853016065084613397,restroom,0,0,0,0,37.7667865056285,-122.49279312834591,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.492793128 37.766786506),4,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Chain of Lakes Bathroom,3540930831530257584,restroom,0,0,0,0,37.76797549638172,-122.5018186539798,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.501818654 37.767975496),1,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Southeast Community Center Restroom,2641768654156405405,restroom,0,0,0,0,37.7428,-122.387319,1550 Evans Ave,San Francisco,CA,94124,,limited_access,07:00:00,19:00:00,Weekdays,,puc,POINT (-122.387319 37.7428),10,Bayview Hunters Point,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Model Yacht Clubhouse,2704115105226768367,restroom,0,0,0,0,37.770201066936195,-122.49559212340256,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 5,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.495592123 37.770201067),1,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
MS Hayward Clubhouse,6767209351983151189,restroom,0,0,0,0,37.780539456770875,-122.42582573872672,1016 Laguna,San Francisco,CA,94102,Margaret S.Hayward Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.425825739 37.780539457),5,Western Addition,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Yacht Harbor and Marina Green - Bench,3276676726064143324,restroom,0,0,0,0,37.80664933,-122.44254125,3950 Scott St,San Francisco,CA,94123,Yacht Harbor and Marina Green,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.4425545 37.8066543),,Marina,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Bay View Restrooms,6307800013540237823,restroom,0,0,0,0,37.7255614487158,-122.39303327990716,3rd & Armstrong,San Francisco,CA,94124,Bayview K.C. Jones Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.39303328 37.725561449),10,Bayview Hunters Point,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
